GROUP,TID,UNIT,LOW,HIGH,FUNCTION,PARAM1,PARAM2,KEY,VAL,FAIL_COUNT,TIMEOUT,DESCRIPTION
CAL_POWER_RAIL,debug_read_voltage PPVDD_CPU,,0.99,1.02,get_cal_voltage,PPVDD_CPU,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_CPU,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_CPU_SRAM,,,,relay_switch,POWER_RAIL_PATH,PPVDD_CPU_SRAM,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_CPU_SRAM,,0.99,1.02,get_cal_voltage,PPVDD_CPU_SRAM,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_CPU_SRAM,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_S1_SOC,,,,relay_switch,POWER_RAIL_PATH,PPVDD_S1_SOC,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_S1_SOC,,0.99,1.02,get_cal_voltage,PPVDD_S1_SOC,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_S1_SOC,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V8_S2,,,,relay_switch,POWER_RAIL_PATH,PP1V8_S2,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V8_S2,,0.99,1.02,get_cal_voltage,PP1V8_S2,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V8_S2,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V06_S2,,,,relay_switch,POWER_RAIL_PATH,PP1V06_S2,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V06_S2,,0.99,1.02,get_cal_voltage,PP1V06_S2,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V06_S2,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_S1_SRAM,,,,relay_switch,POWER_RAIL_PATH,PPVDD_S1_SRAM,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_S1_SRAM,,0.99,1.02,get_cal_voltage,PPVDD_S1_SRAM,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_S1_SRAM,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP2V63_NAND,,,,relay_switch,POWER_RAIL_PATH,PP2V63_NAND,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP2V63_NAND,,0.99,1.02,get_cal_voltage,PP2V63_NAND,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP2V63_NAND,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_S1_DISP,,,,relay_switch,POWER_RAIL_PATH,PPVDD_S1_DISP,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_S1_DISP,,0.99,1.02,get_cal_voltage,PPVDD_S1_DISP,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_S1_DISP,,-10,10,read_cal_offset,,,,,,50000,


CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_S1_QL,,,,relay_switch,POWER_RAIL_PATH,PPVDD_S1_QL,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_S1_QL,,0.99,1.02,get_cal_voltage,PPVDD_S1_QL,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_S1_QL,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_ECPU,,,,relay_switch,POWER_RAIL_PATH,PPVDD_ECPU,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_ECPU,,0.99,1.02,get_cal_voltage,PPVDD_ECPU,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_ECPU,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V88_S1,,,,relay_switch,POWER_RAIL_PATH,PP0V88_S1,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V88_S1,,0.99,1.02,get_cal_voltage,PP0V88_S1,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V88_S1,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V25_S2,,,,relay_switch,POWER_RAIL_PATH,PP1V25_S2,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V25_S2,,0.99,1.02,get_cal_voltage,PP1V25_S2,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V25_S2,,-10,10,read_cal_offset,,,,,,50000,



CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V2_S2_LDO3_TO_NFC,,,,relay_switch,POWER_RAIL_PATH,PP1V2_S2_LDO3_TO_NFC,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V2_S2_LDO3_TO_NFC,,0.99,1.02,get_cal_voltage,PP1V2_S2_LDO3_TO_NFC,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V2_S2_LDO3_TO_NFC,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V72_S2_VDDLOW,,,,relay_switch,POWER_RAIL_PATH,PP0V72_S2_VDDLOW,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V72_S2_VDDLOW,,0.99,1.02,get_cal_voltage,PP0V72_S2_VDDLOW,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V72_S2_VDDLOW,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V2_SOC_LN,,,,relay_switch,POWER_RAIL_PATH,PP1V2_SOC_LN,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V2_SOC_LN,,0.99,1.02,get_cal_voltage,PP1V2_SOC_LN,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V2_SOC_LN,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_S2_CIO,,,,relay_switch,POWER_RAIL_PATH,PPVDD_S2_CIO,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_S2_CIO,,0.99,1.02,get_cal_voltage,PPVDD_S2_CIO,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_S2_CIO,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V8_S1_SOC_FIXED,,,,relay_switch,POWER_RAIL_PATH,PP0V8_S1_SOC_FIXED,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V8_S1_SOC_FIXED,,0.99,1.02,get_cal_voltage,PP0V8_S1_SOC_FIXED,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V8_S1_SOC_FIXED,,-10,10,read_cal_offset,,,,,,50000,



CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP3V3_S2_LDO17_TO_CROWN,,,,relay_switch,POWER_RAIL_PATH,PP3V3_S2_LDO17_TO_CROWN,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP3V3_S2_LDO17_TO_CROWN,,0.99,1.02,get_cal_voltage,PP3V3_S2_LDO17_TO_CROWN,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP3V3_S2_LDO17_TO_CROWN,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V2_S2_CIO,,,,relay_switch,POWER_RAIL_PATH,PP1V2_S2_CIO,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V2_S2_CIO,,0.99,1.02,get_cal_voltage,PP1V2_S2_CIO,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V2_S2_CIO,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V2_VALE_ALWAYS,,,,relay_switch,POWER_RAIL_PATH,PP1V2_VALE_ALWAYS,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V2_VALE_ALWAYS,,0.99,1.02,get_cal_voltage,PP1V2_VALE_ALWAYS,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V2_VALE_ALWAYS,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V2_NAND,,,,relay_switch,POWER_RAIL_PATH,PP1V2_NAND,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V2_NAND,,0.99,1.02,get_cal_voltage,PP1V2_NAND,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V2_NAND,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V8_SW1_IO,,,,relay_switch,POWER_RAIL_PATH,PP1V8_SW1_IO,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V8_SW1_IO,,0.99,1.02,get_cal_voltage,PP1V8_SW1_IO,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V8_SW1_IO,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V88_NAND,,,,relay_switch,POWER_RAIL_PATH,PP0V88_NAND,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V88_NAND,,0.99,1.02,get_cal_voltage,PP0V88_NAND,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V88_NAND,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V2_EXTSW,,,,relay_switch,POWER_RAIL_PATH,PP1V2_EXTSW,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V2_EXTSW,,0.99,1.02,get_cal_voltage,PP1V2_EXTSW,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V2_EXTSW,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_AMPH_S2,,,,relay_switch,POWER_RAIL_PATH,PPVDD_AMPH_S2,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PPVDD_AMPH_S2,,0.99,1.02,get_cal_voltage,PPVDD_AMPH_S2,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PPVDD_AMPH_S2,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP_STOWE_BSTLQ_VOUT,,,,relay_switch,POWER_RAIL_PATH,PP_STOWE_BSTLQ_VOUT,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP_STOWE_BSTLQ_VOUT,,0.99,1.02,get_cal_voltage,PP_STOWE_BSTLQ_VOUT,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP_STOWE_BSTLQ_VOUT,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP_VALE_BSTLQ_VOUT,,,,relay_switch,POWER_RAIL_PATH,PP_VALE_BSTLQ_VOUT,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP_VALE_BSTLQ_VOUT,,0.99,1.02,get_cal_voltage,PP_VALE_BSTLQ_VOUT,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP_VALE_BSTLQ_VOUT,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V8_SW2_TO_SPDY_SHIRAZ,,,,relay_switch,POWER_RAIL_PATH,PP1V8_SW2_TO_SPDY_SHIRAZ,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V8_SW2_TO_SPDY_SHIRAZ,,0.99,1.02,get_cal_voltage,PP1V8_SW2_TO_SPDY_SHIRAZ,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V8_SW2_TO_SPDY_SHIRAZ,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to IO_CPMU_TO_CSOC_RESET_L,,,,relay_switch,POWER_RAIL_PATH,IO_CPMU_TO_CSOC_RESET_L,,,,20000,
CAL_POWER_RAIL,debug_read_voltage IO_CPMU_TO_CSOC_RESET_L,,0.99,1.02,get_cal_voltage,IO_CPMU_TO_CSOC_RESET_L,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset IO_CPMU_TO_CSOC_RESET_L,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V9_EXTBUCKL1_TO_MANY_LDOSUPPLY,,,,relay_switch,POWER_RAIL_PATH,PP0V9_EXTBUCKL1_TO_MANY_LDOSUPPLY,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V9_EXTBUCKL1_TO_MANY_LDOSUPPLY,,0.99,1.02,get_cal_voltage,PP0V9_EXTBUCKL1_TO_MANY_LDOSUPPLY,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V9_EXTBUCKL1_TO_MANY_LDOSUPPLY,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V9_EXTBUCKR1_TO_MANY_LDOSUPPLY,,,,relay_switch,POWER_RAIL_PATH,PP0V9_EXTBUCKR1_TO_MANY_LDOSUPPLY,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V9_EXTBUCKR1_TO_MANY_LDOSUPPLY,,0.99,1.02,get_cal_voltage,PP0V9_EXTBUCKR1_TO_MANY_LDOSUPPLY,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V9_EXTBUCKR1_TO_MANY_LDOSUPPLY,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V9_LDOML1_TO_MCAML_DVDD2_PHY,,,,relay_switch,POWER_RAIL_PATH,PP0V9_LDOML1_TO_MCAML_DVDD2_PHY,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V9_LDOML1_TO_MCAML_DVDD2_PHY,,0.99,1.02,get_cal_voltage,PP0V9_LDOML1_TO_MCAML_DVDD2_PHY,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V9_LDOML1_TO_MCAML_DVDD2_PHY,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP0V75_LDOML0_TO_MCAML_DVDD1_CORE,,,,relay_switch,POWER_RAIL_PATH,PP0V75_LDOML0_TO_MCAML_DVDD1_CORE,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP0V75_LDOML0_TO_MCAML_DVDD1_CORE,,0.99,1.02,get_cal_voltage,PP0V75_LDOML0_TO_MCAML_DVDD1_CORE,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP0V75_LDOML0_TO_MCAML_DVDD1_CORE,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V4_EXTBUCKL2_TO_MANY_LDOSUPPLY,,,,relay_switch,POWER_RAIL_PATH,PP1V4_EXTBUCKL2_TO_MANY_LDOSUPPLY,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V4_EXTBUCKL2_TO_MANY_LDOSUPPLY,,0.99,1.02,get_cal_voltage,PP1V4_EXTBUCKL2_TO_MANY_LDOSUPPLY,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V4_EXTBUCKL2_TO_MANY_LDOSUPPLY,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V4_EXTBUCKR2_TO_MANY_LDOSUPPLY,,,,relay_switch,POWER_RAIL_PATH,PP1V4_EXTBUCKR2_TO_MANY_LDOSUPPLY,,,,20000,
